TERMINAL_ID,x_terminal_id,y_terminal_id
0,41.7022004702574,72.0324493442158
1,0.011437481734488664,30.233257263183976
2,14.675589081711305,9.233859476879779
3,18.62602113776709,34.556072704304775
4,39.67674742306699,53.88167340033569
5,41.91945144032948,68.52195003967594
6,20.445224973151742,87.81174363909454
7,2.7387593197926163,67.04675101784022
8,41.730480236712694,55.868982844575164
9,14.038693859523377,19.81014890848788
10,80.07445686755366,96.82615757193975
11,31.342417815924286,69.23226156693141
12,87.63891522960382,89.46066635038473
13,8.504421136977792,3.905478323288236
14,16.98304195645689,87.8142503429413
15,9.83468338330501,42.11076250050522
16,95.7889530150502,53.316528497301704
17,69.18771139504733,31.551563100606295
18,68.65009276815837,83.46256718973729
19,1.8288277344191806,75.01443149449675
20,98.88610889064947,74.81656543798394
21,28.044399206440517,78.92793284514885
22,10.322600657764202,44.78935261759052
23,90.85955030930955,29.36141483736795
24,28.777533858634875,13.002857211827767
25,1.9366957870297075,67.8835532939891
26,21.162811600005902,26.554665937222623
27,49.15731592803383,5.336254511708038
28,57.411760549201304,14.672857490581015
29,58.93055369032842,69.97583600209312
30,10.233442882782583,41.40559878195683
31,69.44001577277452,41.417926952690266
32,4.995345894608716,53.58964059155116
33,66.37946452197887,51.48891120583086
34,94.45947559908133,58.65550405019929
35,90.34019152878835,13.747470414623752
36,13.927634725075855,80.73912887095238
37,39.767683698553355,16.53541971169328
38,92.75085803960339,34.776585974550656
39,75.08121031361556,72.59979853504515
40,88.33060912058099,62.36722070556089
41,75.09424340273372,34.88983419778425
42,26.99278917650261,89.58862181960669
43,42.809118987129494,96.48400471483856
44,66.3441497818448,62.16957202091218
45,11.474597295337519,94.94892587070713
46,44.991213347994055,57.83896143871318
47,40.81368027612812,23.70269802430277
48,90.33795205622538,57.36794866722859
49,0.287032703115897,61.71449136207239
